사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022080700100355,2022년 8월 7일 21시,일요일,전라북도 전주시 덕진구 인후동1가,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,27세,상해없음,이륜,남,57세,중상
2022080800100079,2022년 8월 8일 08시,월요일,전라북도 전주시 완산구 중화산동2가,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,보행자,남,18세,중상
2022080800100080,2022년 8월 8일 08시,월요일,전라북도 전주시 완산구 서신동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,맑음,교차로 - 교차로안,승합,남,63세,상해없음,보행자,여,72세,경상
2022080800100480,2022년 8월 8일 20시,월요일,전라북도 전주시 완산구 평화동2가,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,26세,상해없음,승용,여,60세,경상
2022080800100515,2022년 8월 8일 21시,월요일,전라북도 전주시 덕진구 인후동1가,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,여,39세,상해없음,승용,남,52세,경상
2022080800100560,2022년 8월 8일 23시,월요일,전라북도 전주시 덕진구 인후동1가,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,승용,남,47세,경상
2022080900100137,2022년 8월 9일 10시,화요일,전라북도 전주시 완산구 평화동1가,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,이륜,남,71세,중상,승용,여,63세,상해없음
2022080900100193,2022년 8월 9일 12시,화요일,전라북도 전주시 완산구 서신동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,62세,상해없음,승용,여,49세,경상
2022081000100390,2022년 8월 10일 18시,수요일,전라북도 전주시 완산구 삼천동1가,경상사고,0,0,1,0,차대차 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,남,53세,경상
2022081000100461,2022년 8월 10일 20시,수요일,전라북도 전주시 덕진구 팔복동2가,중상사고,0,1,1,0,차대사람 - 기타,기타,포장 - 젖음/습기,비,단일로 - 기타,개인형이동수단(PM),남,21세,상해없음,보행자,여,22세,경상
2022081000100493,2022년 8월 10일 21시,수요일,전라북도 전주시 완산구 효자동1가,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,이륜,남,42세,상해없음,보행자,남,48세,경상
2022081100100087,2022년 8월 11일 08시,목요일,전라북도 전주시 덕진구 송천동2가,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 젖음/습기,비,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,승용,여,27세,경상
2022081100100102,2022년 8월 11일 09시,목요일,전라북도 전주시 덕진구 덕진동1가,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,승용,여,57세,상해없음,보행자,여,57세,경상
2022081100100237,2022년 8월 11일 14시,목요일,전라북도 전주시 덕진구 반월동,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,포장 - 젖음/습기,비,단일로 - 교량,승용,남,76세,상해없음,승용,여,64세,중상
2022081100100275,2022년 8월 11일 15시,목요일,전라북도 전주시 덕진구 송천동1가,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,여,42세,경상
2022081100100474,2022년 8월 11일 22시,목요일,전라북도 전주시 완산구 효자동2가,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,맑음,교차로 - 교차로부근,승용,남,57세,상해없음,승용,남,32세,경상
2022081200100042,2022년 8월 12일 05시,금요일,전라북도 전주시 완산구 삼천동1가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,43세,상해없음,보행자,남,72세,중상
2022081200100098,2022년 8월 12일 08시,금요일,전라북도 전주시 덕진구 진북동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,22세,상해없음,승용,남,57세,경상
2022081200100167,2022년 8월 12일 10시,금요일,전라북도 전주시 완산구 효자동2가,경상사고,0,0,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,67세,경상,화물,남,59세,경상
2022081200100304,2022년 8월 12일 14시,금요일,전라북도 전주시 덕진구 덕진동2가,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,42세,상해없음,승용,남,32세,경상
2022081200100425,2022년 8월 12일 17시,금요일,전라북도 전주시 덕진구 덕진동2가,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,73세,상해없음,승용,남,31세,경상
2022081200100560,2022년 8월 12일 20시,금요일,전라북도 전주시 덕진구 덕진동2가,경상사고,0,0,3,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,25세,상해없음,보행자,남,46세,경상
2022081300100039,2022년 8월 13일 03시,토요일,전라북도 전주시 덕진구 송천동1가,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,남,31세,중상
2022081300100265,2022년 8월 13일 14시,토요일,전라북도 전주시 덕진구 진북동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,단일로 - 기타,승용,남,71세,상해없음,승용,남,75세,경상
2022081300100302,2022년 8월 13일 15시,토요일,전라북도 전주시 완산구 효자동2가,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,23세,상해없음,승용,남,24세,경상
2022081300100356,2022년 8월 13일 17시,토요일,전라북도 전주시 완산구 중화산동2가,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로부근,이륜,남,20세,상해없음,승용,남,38세,경상
2022081300100387,2022년 8월 13일 18시,토요일,전라북도 전주시 덕진구 우아동3가,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,남,53세,상해없음,승용,남,28세,경상
2022081300100453,2022년 8월 13일 20시,토요일,전라북도 전주시 덕진구 금암동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,61세,경상
2022081300100528,2022년 8월 13일 23시,토요일,전라북도 전주시 완산구 평화동1가,경상사고,0,0,4,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,42세,경상,승용,남,36세,경상
2022081400100243,2022년 8월 14일 17시,일요일,전라북도 전주시 완산구 중화산동2가,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,개인형이동수단(PM),남,13세,상해없음,보행자,여,72세,중상
2022081400100342,2022년 8월 14일 21시,일요일,전라북도 전주시 완산구 효자동3가,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,18세,상해없음,보행자,남,31세,경상
2022081500100011,2022년 8월 15일 01시,월요일,전라북도 전주시 완산구 서신동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,22세,상해없음,승용,여,23세,상해없음
2022081500100197,2022년 8월 15일 13시,월요일,전라북도 전주시 덕진구 호성동2가,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,66세,상해없음,승용,남,30세,경상
2022081500100254,2022년 8월 15일 15시,월요일,전라북도 전주시 완산구 서신동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,여,43세,상해없음,이륜,남,44세,경상
2022081600100082,2022년 8월 16일 08시,화요일,전라북도 전주시 완산구 효자동2가,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,72세,상해없음,승용,여,48세,경상
2022081600100083,2022년 8월 16일 08시,화요일,전라북도 전주시 완산구 효자동3가,경상사고,0,0,2,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,교차로 - 교차로안,승용,남,33세,경상,승용,남,30세,경상
